,Training_Set,precision,recall,f1_macro,accuracy
0,dt,0.7653668927143106,0.7842122416040722,0.771506419826814,0.7877094972067039
1,knn,0.7398970883534136,0.7669858464212552,0.7401487794308825,0.750465549348231
2,lr,0.7342418709789602,0.7508768390340803,0.7394371454165423,0.7579143389199255
3,rf,0.8278491983244258,0.8522409833012602,0.8359926700634666,0.8472998137802608
4,xgb,0.9162775232747156,0.9371702154075361,0.9249243348837912,0.931098696461825
